County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Childress,Accommodation and Food Services,2: <20 employees3: 20-99 employees,144,144,11491,14381488
Childress,Accommodation,2: <20 employees,6,6,76,979
Childress,Retail Trade,2: <20 employees,15,15,54,876
Clay,Total,,136,140,752,26809
Clay,Accommodation and Food Services,2: <20 employees,3,3,1,127
Clay,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,10,183
Clay,Food Services and Drinking Places,2: <20 employees,3,3,1,127
Clay,Retail Trade,2: <20 employees,19,19,76,3364
Cochran,Total,,41,42,234,7376
Cochran,Retail Trade,2: <20 employees,5,5,26,399
Coke,Accommodation and Food Services,2: <20 employees,6,6,16,269
Coke,Food Services and Drinking Places,2: <20 employees,6,6,16,269
Coke,Food and Beverage Stores,2: <20 employees,3,3,16,192
Coke,Retail Trade,2: <20 employees,5,5,29,427
Coke,Total,,56,59,258,7501
Coleman,Total,,194,197,1449,42409
Coleman,Retail Trade,2: <20 employees3: 20-99 employees,183,183,62115,12632320
Coleman,Food and Beverage Stores,2: <20 employees,5,5,22,253
Coleman,Food Services and Drinking Places,2: <20 employees,15,15,112,1271
Coleman,Accommodation and Food Services,2: <20 employees,19,19,124,1523
Coleman,Accommodation,2: <20 employees,4,4,12,252
Collin,Accommodation,2: <20 employees3: 20-99 employees,4924,4924,354636,693112959
Collin,Accommodation and Food Services,2: <20 employees3: 20-99 employees,1162340,1163361,710811574,142818214646
Collin,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,1356,1367,60271,111571914
Collin,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,1113316,1114337,675410938,135887201687
Collin,Food and Beverage Stores,2: <20 employees3: 20-99 employees,16214,16216,569435,1096710231
Collin,General Merchandise Stores,2: <20 employees,8,8,35,773
Collin,Retail Trade,2: <20 employees3: 20-99 employees,1351120,1361146,52123280,155986136714
Collin,Total,,20575,24699,434685,27911325
Collingsworth,Retail Trade,2: <20 employees,6,6,19,767
Collingsworth,Total,,63,65,479,17847
Collingsworth,Accommodation and Food Services,2: <20 employees,6,6,29,393
Collingsworth,Food Services and Drinking Places,2: <20 employees,6,6,29,393
Colorado,Accommodation and Food Services,2: <20 employees3: 20-99 employees,365,365,202167,31553776
Colorado,Accommodation,2: <20 employees,11,11,49,871
Colorado,Total,,523,552,6208,250798
Colorado,Food and Beverage Stores,2: <20 employees,13,13,55,817
Colorado,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,255,255,153167,22843776
Colorado,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,13,185
Colorado,Retail Trade,2: <20 employees3: 20-99 employees,796,796,340167,76416011
Comal,Accommodation,2: <20 employees3: 20-99 employees,498,508,397240,83353875
Comal,Accommodation and Food Services,2: <20 employees3: 20-99 employees,19580,19686,13053042,2633452994
Comal,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,283,283,13545,1987645
Comal,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,14672,14678,9082802,1799949119
Comal,Food and Beverage Stores,2: <20 employees,12,13,33,1035
Comal,Retail Trade,2: <20 employees3: 20-99 employees,23917,24317,1135467,3636819275
Comal,Total,,3493,3823,51846,2120200
Comal,General Merchandise Stores,2: <20 employees,4,4,38,463
Comanche,Retail Trade,2: <20 employees3: 20-99 employees,266,268,110219,30547395
Comanche,Accommodation and Food Services,2: <20 employees3: 20-99 employees,143,143,10649,1164843
Comanche,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,133,133,9149,969843
Comanche,Total,,230,246,2607,90666
Concho,Retail Trade,2: <20 employees,11,11,52,947
Concho,Total,,46,48,392,13456
Concho,Accommodation and Food Services,2: <20 employees,3,3,9,182
Cooke,Total,,870,916,13287,597238
Cooke,Accommodation,2: <20 employees,17,18,111,1771
Cooke,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4512,4712,315381,44436458
Cooke,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,33,753
Cooke,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,2812,2912,204381,26726458
Cooke,Food and Beverage Stores,2: <20 employees,13,13,27,792
Cooke,Retail Trade,2: <20 employees3: 20-99 employees,8817,8818,421483,1045320856
Coryell,Retail Trade,2: <20 employees3: 20-99 employees,683,683,31835,7039799
Coryell,Food and Beverage Stores,2: <20 employees,15,15,74,1178
Coryell,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4214,4214,235382,31924736
Coryell,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,25,693
Coryell,Accommodation,2: <20 employees,12,12,66,927
Coryell,Total,,674,733,9510,288911
Coryell,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5415,5415,301412,41195327
Cottle,Total,,27,27,135,3102
Cottle,Accommodation and Food Services,2: <20 employees,3,3,19,148
Cottle,Food Services and Drinking Places,2: <20 employees,3,3,19,148
Cottle,Retail Trade,2: <20 employees,5,5,39,838
Crane,Retail Trade,2: <20 employees,6,6,41,1570
Crane,Total,,89,90,1049,62261
Crane,Accommodation and Food Services,2: <20 employees,7,7,45,563
Crane,Food Services and Drinking Places,2: <20 employees,7,7,45,563
Crockett,Accommodation and Food Services,2: <20 employees3: 20-99 employees,157,157,73212,9022334
Crockett,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,104,104,49129,523987
Crockett,Retail Trade,2: <20 employees3: 20-99 employees,73,73,2569,6491472
Crockett,Total,,115,120,1155,57489
Crockett,Accommodation,2: <20 employees3: 20-99 employees,53,53,2483,3791347
Crosby,Retail Trade,2: <20 employees,5,5,19,574
Crosby,Total,,82,91,571,21614
Culberson,Total,,56,58,695,35908
Culberson,Accommodation,2: <20 employees,9,9,56,1107
Culberson,Retail Trade,2: <20 employees,10,11,55,1415
Culberson,Food Services and Drinking Places,2: <20 employees,3,3,30,474
Culberson,Accommodation and Food Services,2: <20 employees,12,12,86,1581
Dallam,Accommodation,2: <20 employees,8,8,62,803
Dallam,Retail Trade,2: <20 employees3: 20-99 employees,145,146,6576,19463481
Dallam,Total,,198,211,1702,66692
Dallam,Accommodation and Food Services,2: <20 employees3: 20-99 employees,183,183,93112,13291763
Dallam,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,103,103,31112,5261763
Dallas,Total,,53315,66685,1502707,94655456
